source,target
镜像,イメージ
容器,コンテナ
挂载,マウント
卷,ボリューム
命名空间,名前空間
节点,ノード
集群,クラスタ
副本,レプリカ
服务,サービス
部署,デプロイ
编排,オーケストレーション
网络,ネットワーク
端口,ポート
端口映射,ポートマッピング
代理,プロキシ
内网穿透,NAT トラバーサル
防火墙,ファイアウォール
网关,ゲートウェイ
负载均衡,負荷分散
健康检查,ヘルスチェック
密钥,シークレット
证书,証明書
域名,ドメイン
守护进程,デーモン
进程,プロセス
权限,権限
环境变量,環境変数
配置文件,設定ファイル
镜像源,ミラー
仓库,リポジトリ
分支,ブランチ
提交,コミット
构建,ビルド
依赖,依存関係
插件,プラグイン
缓存,キャッシュ
索引,インデックス
备份,バックアップ
快照,スナップショット
监控,監視
日志,ログ
终端,ターミナル
脚本,スクリプト
