source,target
镜像,映像
容器,容器
挂载,掛載
卷,磁碟區
命名空间,命名空間
节点,節點
集群,叢集
副本,複本
服务,服務
部署,部署
编排,編排
网络,網路
端口,連接埠
端口映射,連接埠對應
代理,代理
内网穿透,內網穿透
防火墙,防火牆
网关,閘道
负载均衡,負載平衡
健康检查,健康檢查
密钥,密鑰
证书,憑證
域名,網域
守护进程,常駐程式
进程,處理程序
权限,權限
环境变量,環境變數
配置文件,設定檔
镜像源,映像來源
仓库,儲存庫
分支,分支
提交,提交
构建,建置
依赖,相依性
插件,外掛
缓存,快取
索引,索引
备份,備份
快照,快照
监控,監控
日志,記錄檔
终端,終端機
脚本,指令碼
